	id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1426362690792873984		1426131878818447362	2021-08-14 07:29:00 IST	2021-08-14	07:29:00	530	1072079372947845120	vinithk22589813	Vinith Kumar		@MadhuSu17469936 @SunilKu92687431 @RahulGandhi @priyankac19 @yadavakhilesh @cpimspeak Opposition parties are fighting for their own survival. Manifesto of Congress party also has a mention of privatisation. They are only playing to galleries viz. Farmers agitation, fuel price hike etc. If they are serious THEY MUST RESIGN OVER PRIVATIZATION MOVE OF GOVT.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/VinithK22589813/status/1426362690792873984	False		0								[{'screen_name': 'MadhuSu17469936', 'name': 'Madhu Sudan', 'id': '1351023247513571328'}, {'screen_name': 'SunilKu92687431', 'name': 'Sunil Kumar', 'id': '1070574510615814145'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'priyankac19', 'name': 'Priyanka Chaturvedi🇮🇳', 'id': '19760270'}, {'screen_name': 'yadavakhilesh', 'name': 'Akhilesh Yadav', 'id': '57948579'}, {'screen_name': 'cpimspeak', 'name': 'CPI (M)', 'id': '2341741537'}]				
1426240252956401665		1426131878818447362	2021-08-13 23:22:29 IST	2021-08-13	23:22:29	530	1414607958986526721	abhishe91276305	Abhishek Parashar		@MadhuSu17469936 @SunilKu92687431 @RahulGandhi @priyankac19 @yadavakhilesh @cpimspeak #निजीकरण_बंद_करो	und	[]	[]	[]	0	6	2	['निजीकरण_बंद_करो']	[]	https://twitter.com/Abhishe91276305/status/1426240252956401665	False		0								[{'screen_name': 'MadhuSu17469936', 'name': 'Madhu Sudan', 'id': '1351023247513571328'}, {'screen_name': 'SunilKu92687431', 'name': 'Sunil Kumar', 'id': '1070574510615814145'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'priyankac19', 'name': 'Priyanka Chaturvedi🇮🇳', 'id': '19760270'}, {'screen_name': 'yadavakhilesh', 'name': 'Akhilesh Yadav', 'id': '57948579'}, {'screen_name': 'cpimspeak', 'name': 'CPI (M)', 'id': '2341741537'}]				
1426193115287736325		1426131878818447362	2021-08-13 20:15:10 IST	2021-08-13	20:15:10	530	1285752675703730176	pratima00754695	Pratima kumari		@MadhuSu17469936 @SunilKu92687431 @RahulGandhi @priyankac19 @yadavakhilesh @cpimspeak #StopPrivatization	und	[]	[]	[]	1	3	0	['stopprivatization']	[]	https://twitter.com/Pratima00754695/status/1426193115287736325	False		0								[{'screen_name': 'MadhuSu17469936', 'name': 'Madhu Sudan', 'id': '1351023247513571328'}, {'screen_name': 'SunilKu92687431', 'name': 'Sunil Kumar', 'id': '1070574510615814145'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'priyankac19', 'name': 'Priyanka Chaturvedi🇮🇳', 'id': '19760270'}, {'screen_name': 'yadavakhilesh', 'name': 'Akhilesh Yadav', 'id': '57948579'}, {'screen_name': 'cpimspeak', 'name': 'CPI (M)', 'id': '2341741537'}]				
1426184069142913029		1426131878818447362	2021-08-13 19:39:13 IST	2021-08-13	19:39:13	530	1417095389665140740	sanjivakumarsi2	Sanjiva Kumar Singh		@MadhuSu17469936 @Saurabh_Munger @SunilKu92687431 @RahulGandhi @priyankac19 @yadavakhilesh @cpimspeak यही बात तो मैं भी आप सभी को समझाना चाहता हूं कि सभी दलों का अपना एजेंडा है और सभी अपने तरीके से अपने फायदे के लिए काम कर रहे हैं। हमारी चिंता किसी को भी नहीं है।	hi	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/SanjivaKumarSi2/status/1426184069142913029	False		0								[{'screen_name': 'MadhuSu17469936', 'name': 'Madhu Sudan', 'id': '1351023247513571328'}, {'screen_name': 'Saurabh_Munger', 'name': 'SAURABH AGGARWAL🇮🇳', 'id': '799639759505199104'}, {'screen_name': 'SunilKu92687431', 'name': 'Sunil Kumar', 'id': '1070574510615814145'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'priyankac19', 'name': 'Priyanka Chaturvedi🇮🇳', 'id': '19760270'}, {'screen_name': 'yadavakhilesh', 'name': 'Akhilesh Yadav', 'id': '57948579'}, {'screen_name': 'cpimspeak', 'name': 'CPI (M)', 'id': '2341741537'}]				
1426180324166279173		1426131878818447362	2021-08-13 19:24:21 IST	2021-08-13	19:24:21	530	1111072460118491141	somasen26658838	Soma Sen		@MadhuSu17469936 @DoluiAvishek @SunilKu92687431 @RahulGandhi @priyankac19 @yadavakhilesh @cpimspeak #NationAgainstPrivatization	und	[]	[]	[]	0	1	0	['nationagainstprivatization']	[]	https://twitter.com/SomaSen26658838/status/1426180324166279173	False		0								[{'screen_name': 'MadhuSu17469936', 'name': 'Madhu Sudan', 'id': '1351023247513571328'}, {'screen_name': 'DoluiAvishek', 'name': 'Avishek DOLUI', 'id': '1305139558925828097'}, {'screen_name': 'SunilKu92687431', 'name': 'Sunil Kumar', 'id': '1070574510615814145'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'priyankac19', 'name': 'Priyanka Chaturvedi🇮🇳', 'id': '19760270'}, {'screen_name': 'yadavakhilesh', 'name': 'Akhilesh Yadav', 'id': '57948579'}, {'screen_name': 'cpimspeak', 'name': 'CPI (M)', 'id': '2341741537'}]				
1426179153133412355		1426131878818447362	2021-08-13 19:19:41 IST	2021-08-13	19:19:41	530	1355879194979430406	amitkum26570364	Amit Kumar		@MadhuSu17469936 @SunilKu92687431 @RahulGandhi @priyankac19 @yadavakhilesh @cpimspeak Stop privatization	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/AmitKum26570364/status/1426179153133412355	False		0								[{'screen_name': 'MadhuSu17469936', 'name': 'Madhu Sudan', 'id': '1351023247513571328'}, {'screen_name': 'SunilKu92687431', 'name': 'Sunil Kumar', 'id': '1070574510615814145'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'priyankac19', 'name': 'Priyanka Chaturvedi🇮🇳', 'id': '19760270'}, {'screen_name': 'yadavakhilesh', 'name': 'Akhilesh Yadav', 'id': '57948579'}, {'screen_name': 'cpimspeak', 'name': 'CPI (M)', 'id': '2341741537'}]				
1426157442430377987		1426131878818447362	2021-08-13 17:53:25 IST	2021-08-13	17:53:25	530	1165148538386337792	ranajitkrsarka1	Ranajit Kr Sarkar		@MadhuSu17469936 @SunilKu92687431 @RahulGandhi @priyankac19 @yadavakhilesh @cpimspeak #StopPrivatisationofPSU	und	[]	[]	[]	1	2	1	['stopprivatisationofpsu']	[]	https://twitter.com/RanajitKrSarka1/status/1426157442430377987	False		0								[{'screen_name': 'MadhuSu17469936', 'name': 'Madhu Sudan', 'id': '1351023247513571328'}, {'screen_name': 'SunilKu92687431', 'name': 'Sunil Kumar', 'id': '1070574510615814145'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'priyankac19', 'name': 'Priyanka Chaturvedi🇮🇳', 'id': '19760270'}, {'screen_name': 'yadavakhilesh', 'name': 'Akhilesh Yadav', 'id': '57948579'}, {'screen_name': 'cpimspeak', 'name': 'CPI (M)', 'id': '2341741537'}]				
1426151513458548745		1426131878818447362	2021-08-13 17:29:52 IST	2021-08-13	17:29:52	530	1401222905459929092	kalai33945789	Kalai		@MadhuSu17469936 @SunilKu92687431 @RahulGandhi @priyankac19 @yadavakhilesh @cpimspeak #StopPrivatization	und	[]	[]	[]	0	77	22	['stopprivatization']	[]	https://twitter.com/Kalai33945789/status/1426151513458548745	False		0								[{'screen_name': 'MadhuSu17469936', 'name': 'Madhu Sudan', 'id': '1351023247513571328'}, {'screen_name': 'SunilKu92687431', 'name': 'Sunil Kumar', 'id': '1070574510615814145'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'priyankac19', 'name': 'Priyanka Chaturvedi🇮🇳', 'id': '19760270'}, {'screen_name': 'yadavakhilesh', 'name': 'Akhilesh Yadav', 'id': '57948579'}, {'screen_name': 'cpimspeak', 'name': 'CPI (M)', 'id': '2341741537'}]				
1426147427283718154		1426131878818447362	2021-08-13 17:13:37 IST	2021-08-13	17:13:37	530	2757446455	akaashk55	Akash K		@MadhuSu17469936 @SunilKu92687431 @RahulGandhi @priyankac19 @yadavakhilesh @cpimspeak We stand strongly against Privatisation of PSBs until they are repealed..!!  Repeal Privatisation moves . Resign over privatisation move  by the government #StopPrivatization  #GoPrivatizationGo  @NA165946  @Parthas83426023  @MadhuSu17469936	en	[{'screen_name': 'na165946', 'name': '@narasimhan amarnath', 'id': '1072363397050642432'}, {'screen_name': 'parthas83426023', 'name': 'parthasarathy narasimhan', 'id': '1079443603951239168'}, {'screen_name': 'madhusu17469936', 'name': 'madhu sudan', 'id': '1351023247513571328'}]	[]	[]	2	29	13	['stopprivatization', 'goprivatizationgo']	[]	https://twitter.com/Akaashk55/status/1426147427283718154	False		0								[{'screen_name': 'MadhuSu17469936', 'name': 'Madhu Sudan', 'id': '1351023247513571328'}, {'screen_name': 'SunilKu92687431', 'name': 'Sunil Kumar', 'id': '1070574510615814145'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'priyankac19', 'name': 'Priyanka Chaturvedi🇮🇳', 'id': '19760270'}, {'screen_name': 'yadavakhilesh', 'name': 'Akhilesh Yadav', 'id': '57948579'}, {'screen_name': 'cpimspeak', 'name': 'CPI (M)', 'id': '2341741537'}]				
1426225544589234179		1426141286776459264	2021-08-13 22:24:02 IST	2021-08-13	22:24:02	530	567285812	bhatisatendra	🇮🇳 सतेन्द्र भाटी 🇮🇳		@VarunGandhi78 राकेश टिकैत ने तैमूर को बैठा कर गोला लाठी पिला देना हैं	hi	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/BHATISATENDRA/status/1426225544589234179	False		0								[{'screen_name': 'VarunGandhi78', 'name': 'Varun Gandhi', 'id': '2522240802'}]				
