id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1424411003681341444	1423131935514181636	2021-08-08 22:13:42 IST	2021-08-08	22:13:42	+0530	1410182290693496834	ingeniousme005	Vishal devkatte		@asianpaints #bycott @asianpaints for promoting its company with the hands of @deepikapadukone .  #CAAProtest #ban  https://t.co/fkYE6uRhg9	en	[{'screen_name': 'asianpaints', 'name': 'asian paints', 'id': '368183460'}, {'screen_name': 'deepikapadukone', 'name': 'deepika padukone', 'id': '101695592'}]	[]	['https://pbs.twimg.com/media/E8SGQNxUUAAWH-h.jpg']	0	0	0	['bycott', 'caaprotest', 'ban']	[]	https://twitter.com/IngeniousMe005/status/1424411003681341444	False		1	https://pbs.twimg.com/media/E8SGQNxUUAAWH-h.jpg							[{'screen_name': 'asianpaints', 'name': 'Asian Paints', 'id': '368183460'}]				
1424358827156070403	1424008186739101702	2021-08-08 18:46:22 IST	2021-08-08	18:46:22	+0530	1346347510516703232	interna36203317	FMG 🌐👥		@soniandtv When if modi itself targets a specific religious dress during #CAAProtest then what can you expect from hindutva ideology.  so stop portraying muslims when some sold media already misleaded the country on markaz .	en	[]	[]	[]	0	0	0	['caaprotest']	[]	https://twitter.com/Interna36203317/status/1424358827156070403	False		0								[{'screen_name': 'soniandtv', 'name': 'sonia singh', 'id': '32843303'}]				
1424297567974608900	1424297567974608900	2021-08-08 14:42:57 IST	2021-08-08	14:42:57	+0530	1241729369124397057	shakira05507337	Shakir Anwar		ये अतहर खान की माँ हैं। इनका बेटा UAPA के तहत 390 दिनों से जेल में है,वो #CAAProtest का एक चेहरा था ये नाम हमेशा ही गुमनाम रहा और इनके लिए बहुत कम लोग लिखते हैं,इनकी माँ के मुताबिक इनका बेटा बेगुनाह होने के बावजूद सज़ा काट रहा है। #FreeAtharKhan  https://t.co/ITrfOIhd7e	hi	[]	[]	['https://pbs.twimg.com/media/E8MVcMMWEAAVyLR.jpg']	0	2	1	['caaprotest', 'freeatharkhan']	[]	https://twitter.com/ShakirA05507337/status/1424297567974608900	False		1	https://pbs.twimg.com/media/E8MVcMMWEAAVyLR.jpg							[]				
1424125965198712836	1424125965198712836	2021-08-08 03:21:03 IST	2021-08-08	03:21:03	+0530	845884839437979648	smequbal	Asif equbal		अतहर #CAAProtest का एक चेहरा था… दिल्ली हिंसा के मामलों में UAPA के तहत 390 दिनों से जेल में है,   ये नाम हमेशा ही गुमनाम रहा और इनके लिए बहुत कम लोग लिखते हैं, इनकी माँ के मुताबिक इनका बेटा बेगुनाह होने के बावजूद सज़ा काट रहा। #FreeAtharKhan @kparveen2005 @MuslimSpaces	hi	[{'screen_name': 'kparveen2005', 'name': 'khalida parveen', 'id': '2257630154'}, {'screen_name': 'muslimspaces', 'name': 'muslim spaces', 'id': '1388978895903330305'}]	[]	[]	0	2	1	['caaprotest', 'freeatharkhan']	[]	https://twitter.com/smequbal/status/1424125965198712836	False		0								[]				
1424086414971457536	1424086414971457536	2021-08-08 00:43:54 IST	2021-08-08	00:43:54	+0530	1332616132545703936	201kushagra	kush		@thewire_in  #Delhiriot #CAAProtest	und	[]	[]	[]	0	0	0	['delhiriot', 'caaprotest']	[]	https://twitter.com/201Kushagra/status/1424086414971457536	False	https://twitter.com/AskAnshul/status/1236288413663252480	0								[]				
1424048465688948736	1424005490116280320	2021-08-07 22:13:06 IST	2021-08-07	22:13:06	+0530	1223422956908363776	tsp_incharge	नदीम गोरखपुरी		@007khan143 ये अतहर खान की माँ हैं, इनका बेटा UAPA के तहत 390 दिनों से जेल में है, वो #CAAProtest का एक चेहरा था… ये नाम हमेशा ही गुमनाम रहा और इनके लिए बहुत कम लोग लिखते हैं, इनकी माँ के मुताबिक इनका बेटा बेगुनाह होने के बावजूद सज़ा काट रहा है … ✍️✍️ #FreeAtharKhan #FreeAtharKhan	hi	[]	[]	[]	0	8	9	['caaprotest', 'freeatharkhan', 'freeatharkhan']	[]	https://twitter.com/TSP_INCHARGE/status/1424048465688948736	False		0								[{'screen_name': '007khan143', 'name': 'Bheegi_Palken', 'id': '1319827082659115014'}]				
1424012041660952582	1424012041660952582	2021-08-07 19:48:22 IST	2021-08-07	19:48:22	+0530	1358453341731188737	parwezmpa	Insaniyet		अतहर #CAAProtest का एक चेहरा था… दिल्ली हिंसा के मामलों में UAPA के तहत 390 दिनों से जेल में है,   ये नाम हमेशा ही गुमनाम रहा और इनके लिए बहुत कम लोग लिखते हैं, इनकी माँ के मुताबिक इनका बेटा बेगुनाह होने के बावजूद सज़ा काट रहा। #FreeAtharKhan @kparveen2005 @MuslimSpaces	hi	[{'screen_name': 'kparveen2005', 'name': 'khalida parveen', 'id': '2257630154'}, {'screen_name': 'muslimspaces', 'name': 'muslim spaces', 'id': '1388978895903330305'}]	[]	[]	0	2	2	['caaprotest', 'freeatharkhan']	[]	https://twitter.com/parwezmpa/status/1424012041660952582	False		0								[]				
1424006231295860736	1424006231295860736	2021-08-07 19:25:16 IST	2021-08-07	19:25:16	+0530	1293165366252720130	hayaattsp	Mokarram Hayaat {TSP}		ये अतहर खान की माँ हैं, इनका बेटा UAPA के तहत 390 दिनों से जेल में है, वो #CAAProtest का एक चेहरा था… ये नाम हमेशा ही गुमनाम रहा और इनके लिए बहुत कम लोग लिखते हैं, इनकी माँ के मुताबिक इनका बेटा बेगुनाह होने के बावजूद सज़ा काट रहा है … ✍️✍️ #FreeAtharKhan #FreeAtharKhan  https://t.co/jvECGib8WA	hi	[]	[]	['https://pbs.twimg.com/media/E8MWHJ1VUA036wE.jpg']	0	0	2	['caaprotest', 'freeatharkhan', 'freeatharkhan']	[]	https://twitter.com/HayaatTsp/status/1424006231295860736	False		1	https://pbs.twimg.com/media/E8MWHJ1VUA036wE.jpg							[]				
1424005490116280320	1424005490116280320	2021-08-07 19:22:20 IST	2021-08-07	19:22:20	+0530	1319827082659115014	007khan143	Bheegi_Palken		ये अतहर खान की माँ हैं, इनका बेटा UAPA के तहत 390 दिनों से जेल में है, वो #CAAProtest का एक चेहरा था… ये नाम हमेशा ही गुमनाम रहा और इनके लिए बहुत कम लोग लिखते हैं, इनकी माँ के मुताबिक इनका बेटा बेगुनाह होने के बावजूद सज़ा काट रहा है … ✍️✍️ #FreeAtharKhan #FreeAtharKhan  https://t.co/RZLVLKA8ZB	hi	[]	[]	['https://pbs.twimg.com/media/E8MVcMMWEAAVyLR.jpg']	24	168	254	['caaprotest', 'freeatharkhan', 'freeatharkhan']	[]	https://twitter.com/007khan143/status/1424005490116280320	False		1	https://pbs.twimg.com/media/E8MVcMMWEAAVyLR.jpg							[]				
1424000697121447942	1424000697121447942	2021-08-07 19:03:17 IST	2021-08-07	19:03:17	+0530	1352266704718503936	mdshahn36544911	MD Shahnawaz		अतहर #CAAProtest का एक चेहरा था… दिल्ली हिंसा के मामलों में UAPA के तहत 390 दिनों से जेल में है,   ये नाम हमेशा ही गुमनाम रहा और इनके लिए बहुत कम लोग लिखते हैं, इनकी माँ के मुताबिक इनका बेटा बेगुनाह होने के बावजूद सज़ा काट रहा। #FreeAtharKhan	hi	[]	[]	[]	0	1	1	['caaprotest', 'freeatharkhan']	[]	https://twitter.com/MDShahn36544911/status/1424000697121447942	False		0								[]				
1422916222706880517	1422916222706880517	2021-08-04 19:13:58 IST	2021-08-04	19:13:58	+0530	44583496	madhyamam	Madhyamam		പൗരത്വ നിയമം ഭേദഗതി ചെയ്യില്ലെന്ന് കേന്ദ്ര സർക്കാർ; മറ്റ് മതന്യൂനപക്ഷങ്ങളെ ഉൾപ്പെടുത്തില്ല #CAA #CitizenshipAmendmentAct #CAAprotest  https://t.co/IBmOBIeLvP	ml	[]	['https://www.madhyamam.com/india/no-plans-to-amend-caa-further-to-include-other-minorities-government-says-832776?utm_campaign=pubshare&utm_source=Twitter&utm_medium=44583496&utm_content=auto-link&utm_id=84']	[]	0	0	0	['caa', 'citizenshipamendmentact', 'caaprotest']	[]	https://twitter.com/madhyamam/status/1422916222706880517	False		0								[]				
1422456701400215552	1422456701400215552	2021-08-03 12:48:00 IST	2021-08-03	12:48:00	+0530	1352492223066042372	awazthevoicehin	Awaz -The Voice हिन्दी		जामिया शूटर राम भक्त गोपाल को हेट स्पीच मामले में जमानत  https://t.co/aGPwPsWaeQ #Jamia #CAAprotest #Jamiashooter #Hatespeech #Awazthevoice	hi	[]	['https://www.hindi.awazthevoice.in/india-news/jamia-shooter-ram-bhakt-gopal-granted-bail-in-hate-speech-case-5784.html']	[]	0	0	0	['jamia', 'caaprotest', 'jamiashooter', 'hatespeech', 'awazthevoice']	[]	https://twitter.com/AwazTheVoiceHin/status/1422456701400215552	False		0								[]				
1420015147150680078	1420015147150680078	2021-07-27 19:06:08 IST	2021-07-27	19:06:08	+0530	1308743326884007936	aransei	Aransei		சிஏஏ சட்டத்தின் விதிகளை வகுக்க 2022 ஜனவரி வரை கால அவகாசம் : மக்களவையில் உள்துறை அமைச்சகம் தகவல்  முழு விவரம்:  https://t.co/hPIe91lixv  #CAA | #MonsoonSession2021 | #CAAprotest | #Article370Protest  https://t.co/hPIe91lixv	ta	[]	['https://tinyurl.com/ydq33bfr', 'https://tinyurl.com/ydq33bfr']	[]	0	0	0	['caa', 'monsoonsession2021', 'caaprotest', 'article370protest']	[]	https://twitter.com/aransei/status/1420015147150680078	False		0								[]				
1419932010303299588	1419932010303299588	2021-07-27 13:35:46 IST	2021-07-27	13:35:46	+0530	1291365724372340737	madhyamam_eng	Madhyamam English		CAA rules unlikely until Jan 2022, suggests Union Minister's reply in Lok Sabha #CAAprotest #AntiCAANRCProtest #CAArules  https://t.co/yCJoocLBPN	en	[]	['https://english.madhyamam.com/india/caa-rules-unlikely-until-jan-2022-suggests-union-ministers-reply-in-lok-sabha-829162?utm_campaign=pubshare&utm_source=Twitter&utm_medium=1291365724372340737&utm_content=auto-link&utm_id=89']	[]	0	0	0	['caaprotest', 'anticaanrcprotest', 'caarules']	[]	https://twitter.com/madhyamam_eng/status/1419932010303299588	False		0								[]				
1419702009201008643	1419702009201008643	2021-07-26 22:21:50 IST	2021-07-26	22:21:50	+0530	1069946097282486272	khansaleem_	Saleem Khan سلیم خان		450+ दिनों का अन्याय... शिफा उर रहमान भाई ने कौन सा अपराध किया? उनका अपराध केवल #CAAprotest के विरोध में भाग लेना था। लेकिन अपने अधिकारों के लिए विरोध करना संविधान में अपराध नहीं है।   #ShifaurRahmanKoRihaKaro  https://t.co/WcFgriNrf6	hi	[]	[]	['https://pbs.twimg.com/media/E7PLc-0VIAkQgU-.jpg']	0	0	1	['caaprotest', 'shifaurrahmankorihakaro']	[]	https://twitter.com/KhanSaleem_/status/1419702009201008643	False		1	https://pbs.twimg.com/media/E7PLc-0VIAkQgU-.jpg							[]				
1419700004537593857	1419700004537593857	2021-07-26 22:13:52 IST	2021-07-26	22:13:52	+0530	2957753940	ermdasif123	Er Md Asif		450+ days of injustice... What crime did he commit? His crime was participating in anti #CAAprotest only. But protest for the rights is not a crime in constitution.  #ShifaurRahmanKoRihaKaro	en	[]	[]	[]	0	0	1	['caaprotest', 'shifaurrahmankorihakaro']	[]	https://twitter.com/ErMdAsif123/status/1419700004537593857	False		0								[]				
1419698793990135820	1419698793990135820	2021-07-26 22:09:03 IST	2021-07-26	22:09:03	+0530	1330158952844288003	theenghussain	Engineer Mohammed Hussain		450+ days of injustice... What crime did he commit? His crime was participating in anti #CAAprotest only. But protest for the rights is not a crime in constitution.  #ShifaurRahmanKoRihaKaro  https://t.co/eIagVbLg9V #ShifaurRahmanKoRihaKaro	en	[]	[]	['https://pbs.twimg.com/media/E7PCT7iVkAY0-Cc.jpg']	0	8	6	['caaprotest', 'shifaurrahmankorihakaro', 'shifaurrahmankorihakaro']	[]	https://twitter.com/TheEngHussain/status/1419698793990135820	False		1	https://pbs.twimg.com/media/E7PCT7iVkAY0-Cc.jpg							[]				
1419691957777965064	1419691957777965064	2021-07-26 21:41:53 IST	2021-07-26	21:41:53	+0530	1147445758527852544	khanumair90	عمیر خان Umair Khan		450+ days of injustice... What crime did he commit? His crime was participating in anti #CAAprotest only. But protest for the rights is not a crime in constitution.  #ShifaurRahmanKoRihaKaro  https://t.co/5VhsL265J7	en	[]	[]	['https://pbs.twimg.com/media/E7PCT7iVkAY0-Cc.jpg']	4	25	45	['caaprotest', 'shifaurrahmankorihakaro']	[]	https://twitter.com/khanUmair90/status/1419691957777965064	False		1	https://pbs.twimg.com/media/E7PCT7iVkAY0-Cc.jpg							[]				
1417054103713173509	1417054103713173509	2021-07-19 15:00:00 IST	2021-07-19	15:00:00	+0530	1054267270032019456	fiihindi	फेमिनिज़म इन इंडिया		'कोविड का बहाना लेकर ये लोग मेरा सामान, कपड़े इत्यादि मंगवाने की इजाज़त नहीं देते थे। हालांकि इसमें परीक्षा संबंधी किताबें कोर्ट के आदेश पर मुझे मिल गई थीं। हालांकि 13 महीनों में मुझे जितना पढ़ना चाहिए था, उतना नहीं पढ़ पाया।'  #caaprotest #ACTIVIST   https://t.co/TakqGdgFR2	hi	[]	['https://hindi.feminisminindia.com/2021/07/16/in-conversation-with-anti-caa-activist-asif-iqbal-tanha-hindi/']	[]	0	0	1	['caaprotest', 'activist']	[]	https://twitter.com/FIIHindi/status/1417054103713173509	False		0								[]				
1416801678964129793	1416801678964129793	2021-07-18 22:16:57 IST	2021-07-18	22:16:57	+0530	235107372	keshavmail68	Keshav Bhatt		@sanjukta ma'am kya aap bta sakti hain konsey nritya ki baat karra raha hai ye launda?   #caaprotest #caa_nrc  #bakasur #tadkasur #hadimba #शुर्पणाखा @Ra_Bies  https://t.co/jDX1Y8MOyA	hi	[{'screen_name': 'ra_bies', 'name': 'ra_bies 2.0', 'id': '120737021'}]	[]	['https://pbs.twimg.com/media/E6l9ni4VIAIBAdL.jpg']	0	0	0	['caaprotest', 'caa_nrc', 'bakasur', 'tadkasur', 'hadimba', 'शुर्पणाखा']	[]	https://twitter.com/keshavmail68/status/1416801678964129793	False		1	https://pbs.twimg.com/media/E6l9ni4VIAIBAdL.jpg							[]				
1416753490014081024	1416753490014081024	2021-07-18 19:05:28 IST	2021-07-18	19:05:28	+0530	95201953	rishikant_us	ऋषि		देश में बिना किसी उकसावे, ज़ाहिर वजह के #caaprotest पर #shaheenbagh कब्ज़ाया, #JNU देशद्रोह, भीषण हिंसा और #delhiriots में मकानों से बम बरसाए और सारी दिल्ली फूंक डाली।  चीन #NewsClick को पैसे देकर डोकलाम का आधा खेल बिकाऊ ज़मीर वाली जमात के ज़रिये खेल रहा था।   आश्चर्यजनक!!	hi	[]	[]	[]	0	0	0	['caaprotest', 'shaheenbagh', 'jnu', 'delhiriots', 'newsclick']	[]	https://twitter.com/rishikant_us/status/1416753490014081024	False		0								[]				
1416750390972882947	1416750390972882947	2021-07-18 18:53:09 IST	2021-07-18	18:53:09	+0530	95201953	rishikant_us	ऋषि		इधर बार्डर पर लद्दाख में चीन भारत में घुसने की तिकड़में कर रहा था, सैनिकों को धोखे से मार रहा था उधर देश के भीतर गद्दारों #NewsClick को हवाला से पैसे देकर #caaprotest #delhiriots लालकिले पर कब्ज़ा करवा रहा था। ज़रा सोचिए, चुसलमान इस देश को फूंकने पर कैसे आमादा हैं!!	hi	[]	[]	[]	0	0	0	['newsclick', 'caaprotest', 'delhiriots']	[]	https://twitter.com/rishikant_us/status/1416750390972882947	False		0								[]				
